AnzscoCode,Level,Date,NoOfVacancies,State,Title
34,3,01/08/2006,173.9,SA,Electrotechnology and Telecommunications Trades Workers
35,3,01/08/2006,397.92,SA,Food Trades Workers
36,3,01/08/2006,91.26,SA,Skilled Animal and Horticultural Workers
3A,3,01/08/2006,200.17,SA,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/08/2006,68.52,SA,"Jewellers, Arts and Other Trades Workers"
4,2,01/08/2006,1116.65,SA,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/08/2006,93.53,SA,Health and Welfare Support Workers
42,3,01/08/2006,351.69,SA,Carers and Aides
43,3,01/08/2006,455.46,SA,Hospitality Workers
44,3,01/08/2006,93.42,SA,Protective Service Workers
45,3,01/08/2006,124.28,SA,"Sports, Travel and Personal Service Workers"
5,2,01/08/2006,2372.08,SA,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/08/2006,477.88,SA,Numerical Clerks
56,3,01/08/2006,95.5,SA,Clerical and Office Support Workers
59,3,01/08/2006,232.6,SA,Other Clerical and Administrative Workers
5A,3,01/08/2006,305.45,SA,"Office Managers, Administrators and Secretaries"
5B,3,01/08/2006,1264.74,SA,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/08/2006,1668.32,SA,SALES WORKERS
61,3,01/08/2006,341.28,SA,Sales Representatives and Agents
62,3,01/08/2006,1079.76,SA,Sales Assistants and Salespersons
63,3,01/08/2006,194.75,SA,Sales Support Workers
7,2,01/08/2006,1034.59,SA,MACHINERY OPERATORS AND DRIVERS
71,3,01/08/2006,232.8,SA,Machine and Stationary Plant Operators
72,3,01/08/2006,173.61,SA,Mobile Plant Operators
7A,3,01/08/2006,643.19,SA,Drivers and Storepersons
8,2,01/08/2006,2713.28,SA,LABOURERS
81,3,01/08/2006,443.24,SA,Cleaners and Laundry Workers
82,3,01/08/2006,138.62,SA,Construction and Mining Labourers
83,3,01/08/2006,517.79,SA,Factory Process Workers
84,3,01/08/2006,292.64,SA,"Farm, Forestry and Garden Workers"
85,3,01/08/2006,264.6,SA,Food Preparation Assistants
89,3,01/08/2006,1072.02,SA,Other Labourers
0,1,01/08/2006,20841.13,WA,WA TOTAL
1,2,01/08/2006,1770.24,WA,MANAGERS
11,3,01/08/2006,31.82,WA,"Chief Executives, Managing Directors & Legislators"
12,3,01/08/2006,7.93,WA,Farmers and Farm Managers
14,3,01/08/2006,405.85,WA,"Hospitality, Retail and Service Managers"
1A,3,01/08/2006,587.81,WA,Corporate Managers
1B,3,01/08/2006,621.98,WA,"Construction, Production and Distribution Managers"
1C,3,01/08/2006,116.07,WA,"Health, Education, ICT and Other Managers"
2,2,01/08/2006,4935.53,WA,PROFESSIONALS
21,3,01/08/2006,78.76,WA,Arts and Media Professionals
24,3,01/08/2006,89.41,WA,Education Professionals
26,3,01/08/2006,754.73,WA,ICT Professionals
27,3,01/08/2006,206.35,WA,"Legal, Social and Welfare Professionals"
2A,3,01/08/2006,1404.24,WA,"Business, Finance and Human Resource Professionals"
2B,3,01/08/2006,87.46,WA,Information Professionals
2C,3,01/08/2006,144.27,WA,"Sales, Marketing & Public Relations Professionals"
2D,3,01/08/2006,196.53,WA,"Transport and Design Professionals, and Architects"
2E,3,01/08/2006,1302.92,WA,Engineers
2F,3,01/08/2006,303.14,WA,Science Professionals and Veterinarians
2G,3,01/08/2006,193.24,WA,Health Diagnostic and Therapy Professionals
2H,3,01/08/2006,145.69,WA,Medical Practitioners and Nurses
3,2,01/08/2006,2432.51,WA,TECHNICIANS AND TRADES WORKERS
31,3,01/08/2006,668.79,WA,"Engineering, ICT and Science Technicians"
32,3,01/08/2006,725.48,WA,Automotive and Engineering Trades Workers
33,3,01/08/2006,215.74,WA,Construction Trades Workers
34,3,01/08/2006,303.48,WA,Electrotechnology and Telecommunications Trades Workers
35,3,01/08/2006,290.71,WA,Food Trades Workers
36,3,01/08/2006,81.65,WA,Skilled Animal and Horticultural Workers
3A,3,01/08/2006,94.94,WA,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/08/2006,51.18,WA,"Jewellers, Arts and Other Trades Workers"
4,2,01/08/2006,948.69,WA,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/08/2006,48.47,WA,Health and Welfare Support Workers
42,3,01/08/2006,228.72,WA,Carers and Aides
43,3,01/08/2006,432.44,WA,Hospitality Workers
44,3,01/08/2006,90.56,WA,Protective Service Workers
45,3,01/08/2006,152.7,WA,"Sports, Travel and Personal Service Workers"
5,2,01/08/2006,4186.86,WA,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/08/2006,982.03,WA,Numerical Clerks
56,3,01/08/2006,105.76,WA,Clerical and Office Support Workers
59,3,01/08/2006,425.63,WA,Other Clerical and Administrative Workers
5A,3,01/08/2006,639.16,WA,"Office Managers, Administrators and Secretaries"
5B,3,01/08/2006,2047.8,WA,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/08/2006,1877.33,WA,SALES WORKERS
61,3,01/08/2006,497.41,WA,Sales Representatives and Agents
62,3,01/08/2006,1207.91,WA,Sales Assistants and Salespersons
63,3,01/08/2006,183.96,WA,Sales Support Workers
7,2,01/08/2006,1592.32,WA,MACHINERY OPERATORS AND DRIVERS
71,3,01/08/2006,324.41,WA,Machine and Stationary Plant Operators
72,3,01/08/2006,397.8,WA,Mobile Plant Operators
7A,3,01/08/2006,867.54,WA,Drivers and Storepersons
8,2,01/08/2006,3132.29,WA,LABOURERS
81,3,01/08/2006,554.03,WA,Cleaners and Laundry Workers
82,3,01/08/2006,306.78,WA,Construction and Mining Labourers
83,3,01/08/2006,445.88,WA,Factory Process Workers
84,3,01/08/2006,173.54,WA,"Farm, Forestry and Garden Workers"
85,3,01/08/2006,270.68,WA,Food Preparation Assistants
89,3,01/08/2006,1357.8,WA,Other Labourers
0,1,01/08/2006,2914.26,TAS,TAS TOTAL
1,2,01/08/2006,181.01,TAS,MANAGERS
11,3,01/08/2006,5.08,TAS,"Chief Executives, Managing Directors & Legislators"
12,3,01/08/2006,8.4,TAS,Farmers and Farm Managers
14,3,01/08/2006,45.44,TAS,"Hospitality, Retail and Service Managers"
1A,3,01/08/2006,53.17,TAS,Corporate Managers
1B,3,01/08/2006,55.26,TAS,"Construction, Production and Distribution Managers"
1C,3,01/08/2006,18.96,TAS,"Health, Education, ICT and Other Managers"
2,2,01/08/2006,370.34,TAS,PROFESSIONALS
21,3,01/08/2006,8.88,TAS,Arts and Media Professionals
24,3,01/08/2006,29.13,TAS,Education Professionals
26,3,01/08/2006,34.74,TAS,ICT Professionals
27,3,01/08/2006,37.33,TAS,"Legal, Social and Welfare Professionals"
2A,3,01/08/2006,64.06,TAS,"Business, Finance and Human Resource Professionals"
2B,3,01/08/2006,13.5,TAS,Information Professionals
2C,3,01/08/2006,8.59,TAS,"Sales, Marketing & Public Relations Professionals"
2D,3,01/08/2006,21.28,TAS,"Transport and Design Professionals, and Architects"
2E,3,01/08/2006,35.45,TAS,Engineers
2F,3,01/08/2006,23.18,TAS,Science Professionals and Veterinarians
2G,3,01/08/2006,27.6,TAS,Health Diagnostic and Therapy Professionals
2H,3,01/08/2006,69.98,TAS,Medical Practitioners and Nurses
3,2,01/08/2006,315.49,TAS,TECHNICIANS AND TRADES WORKERS
31,3,01/08/2006,37.18,TAS,"Engineering, ICT and Science Technicians"
32,3,01/08/2006,65.25,TAS,Automotive and Engineering Trades Workers
33,3,01/08/2006,53.28,TAS,Construction Trades Workers
34,3,01/08/2006,18.79,TAS,Electrotechnology and Telecommunications Trades Workers
35,3,01/08/2006,83.93,TAS,Food Trades Workers
36,3,01/08/2006,20.97,TAS,Skilled Animal and Horticultural Workers
3A,3,01/08/2006,17.53,TAS,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/08/2006,11.44,TAS,"Jewellers, Arts and Other Trades Workers"
4,2,01/08/2006,324.28,TAS,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/08/2006,16.82,TAS,Health and Welfare Support Workers
42,3,01/08/2006,102.69,TAS,Carers and Aides
43,3,01/08/2006,135.87,TAS,Hospitality Workers
44,3,01/08/2006,44.92,TAS,Protective Service Workers
45,3,01/08/2006,21.49,TAS,"Sports, Travel and Personal Service Workers"
5,2,01/08/2006,381.89,TAS,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/08/2006,54.63,TAS,Numerical Clerks
56,3,01/08/2006,23.38,TAS,Clerical and Office Support Workers
59,3,01/08/2006,26.98,TAS,Other Clerical and Administrative Workers
5A,3,01/08/2006,53.63,TAS,"Office Managers, Administrators and Secretaries"
5B,3,01/08/2006,225.58,TAS,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/08/2006,332.49,TAS,SALES WORKERS
61,3,01/08/2006,81.58,TAS,Sales Representatives and Agents
62,3,01/08/2006,225.94,TAS,Sales Assistants and Salespersons
63,3,01/08/2006,23.95,TAS,Sales Support Workers
7,2,01/08/2006,237.56,TAS,MACHINERY OPERATORS AND DRIVERS
71,3,01/08/2006,32.55,TAS,Machine and Stationary Plant Operators
72,3,01/08/2006,34.36,TAS,Mobile Plant Operators
7A,3,01/08/2006,166.47,TAS,Drivers and Storepersons
8,2,01/08/2006,799.15,TAS,LABOURERS
81,3,01/08/2006,87.44,TAS,Cleaners and Laundry Workers
82,3,01/08/2006,56.33,TAS,Construction and Mining Labourers
83,3,01/08/2006,69.83,TAS,Factory Process Workers
84,3,01/08/2006,124.33,TAS,"Farm, Forestry and Garden Workers"
85,3,01/08/2006,45.3,TAS,Food Preparation Assistants
89,3,01/08/2006,418.74,TAS,Other Labourers
0,1,01/08/2006,2972.77,NT,NT TOTAL
1,2,01/08/2006,236.39,NT,MANAGERS
11,3,01/08/2006,18.52,NT,"Chief Executives, Managing Directors & Legislators"
12,3,01/08/2006,1.24,NT,Farmers and Farm Managers
14,3,01/08/2006,75.2,NT,"Hospitality, Retail and Service Managers"
1A,3,01/08/2006,51.18,NT,Corporate Managers
1B,3,01/08/2006,63.01,NT,"Construction, Production and Distribution Managers"
1C,3,01/08/2006,34.12,NT,"Health, Education, ICT and Other Managers"
2,2,01/08/2006,396.45,NT,PROFESSIONALS
21,3,01/08/2006,11.23,NT,Arts and Media Professionals
24,3,01/08/2006,49.88,NT,Education Professionals
26,3,01/08/2006,22.6,NT,ICT Professionals
27,3,01/08/2006,48.92,NT,"Legal, Social and Welfare Professionals"
2A,3,01/08/2006,66,NT,"Business, Finance and Human Resource Professionals"
2B,3,01/08/2006,16.65,NT,Information Professionals
2C,3,01/08/2006,10.38,NT,"Sales, Marketing & Public Relations Professionals"
2D,3,01/08/2006,19.4,NT,"Transport and Design Professionals, and Architects"
2E,3,01/08/2006,37.67,NT,Engineers
2F,3,01/08/2006,24.55,NT,Science Professionals and Veterinarians
2G,3,01/08/2006,34.53,NT,Health Diagnostic and Therapy Professionals
2H,3,01/08/2006,57.7,NT,Medical Practitioners and Nurses
3,2,01/08/2006,476.62,NT,TECHNICIANS AND TRADES WORKERS
31,3,01/08/2006,42.16,NT,"Engineering, ICT and Science Technicians"
32,3,01/08/2006,135.83,NT,Automotive and Engineering Trades Workers
33,3,01/08/2006,61.49,NT,Construction Trades Workers
34,3,01/08/2006,71.05,NT,Electrotechnology and Telecommunications Trades Workers
35,3,01/08/2006,123.93,NT,Food Trades Workers
36,3,01/08/2006,32.57,NT,Skilled Animal and Horticultural Workers
3A,3,01/08/2006,19.9,NT,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/08/2006,11.62,NT,"Jewellers, Arts and Other Trades Workers"
4,2,01/08/2006,288.03,NT,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/08/2006,20.07,NT,Health and Welfare Support Workers
42,3,01/08/2006,68.93,NT,Carers and Aides
43,3,01/08/2006,139.04,NT,Hospitality Workers
44,3,01/08/2006,25.04,NT,Protective Service Workers
45,3,01/08/2006,36.23,NT,"Sports, Travel and Personal Service Workers"
5,2,01/08/2006,456.72,NT,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/08/2006,66.6,NT,Numerical Clerks
56,3,01/08/2006,13.86,NT,Clerical and Office Support Workers
59,3,01/08/2006,37.96,NT,Other Clerical and Administrative Workers
5A,3,01/08/2006,60.47,NT,"Office Managers, Administrators and Secretaries"
5B,3,01/08/2006,274.26,NT,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/08/2006,281.38,NT,SALES WORKERS
61,3,01/08/2006,72.29,NT,Sales Representatives and Agents
62,3,01/08/2006,183.72,NT,Sales Assistants and Salespersons
63,3,01/08/2006,26.85,NT,Sales Support Workers
7,2,01/08/2006,261.52,NT,MACHINERY OPERATORS AND DRIVERS
71,3,01/08/2006,33.44,NT,Machine and Stationary Plant Operators
72,3,01/08/2006,53.43,NT,Mobile Plant Operators
7A,3,01/08/2006,168.38,NT,Drivers and Storepersons
8,2,01/08/2006,553.86,NT,LABOURERS
81,3,01/08/2006,125.32,NT,Cleaners and Laundry Workers
82,3,01/08/2006,40.75,NT,Construction and Mining Labourers
83,3,01/08/2006,13.43,NT,Factory Process Workers
84,3,01/08/2006,38.82,NT,"Farm, Forestry and Garden Workers"
85,3,01/08/2006,50.16,NT,Food Preparation Assistants
89,3,01/08/2006,276.65,NT,Other Labourers
0,1,01/08/2006,3602.1,ACT,ACT TOTAL
1,2,01/08/2006,426.09,ACT,MANAGERS
11,3,01/08/2006,7.44,ACT,"Chief Executives, Managing Directors & Legislators"
12,3,01/08/2006,0.11,ACT,Farmers and Farm Managers
14,3,01/08/2006,143.89,ACT,"Hospitality, Retail and Service Managers"
1A,3,01/08/2006,152.07,ACT,Corporate Managers
1B,3,01/08/2006,105.03,ACT,"Construction, Production and Distribution Managers"
1C,3,01/08/2006,33.25,ACT,"Health, Education, ICT and Other Managers"
2,2,01/08/2006,1466.16,ACT,PROFESSIONALS
21,3,01/08/2006,66.8,ACT,Arts and Media Professionals
24,3,01/08/2006,14.81,ACT,Education Professionals
26,3,01/08/2006,903.58,ACT,ICT Professionals
27,3,01/08/2006,62.47,ACT,"Legal, Social and Welfare Professionals"
2A,3,01/08/2006,218.92,ACT,"Business, Finance and Human Resource Professionals"
2B,3,01/08/2006,62.16,ACT,Information Professionals
2C,3,01/08/2006,38.44,ACT,"Sales, Marketing & Public Relations Professionals"
2D,3,01/08/2006,32.86,ACT,"Transport and Design Professionals, and Architects"
2E,3,01/08/2006,36.46,ACT,Engineers
2F,3,01/08/2006,5.83,ACT,Science Professionals and Veterinarians
2G,3,01/08/2006,16.7,ACT,Health Diagnostic and Therapy Professionals
2H,3,01/08/2006,12.23,ACT,Medical Practitioners and Nurses
3,2,01/08/2006,254.31,ACT,TECHNICIANS AND TRADES WORKERS
31,3,01/08/2006,115.95,ACT,"Engineering, ICT and Science Technicians"
32,3,01/08/2006,16.19,ACT,Automotive and Engineering Trades Workers
33,3,01/08/2006,17.68,ACT,Construction Trades Workers
34,3,01/08/2006,26.06,ACT,Electrotechnology and Telecommunications Trades Workers
35,3,01/08/2006,48.62,ACT,Food Trades Workers
36,3,01/08/2006,11.64,ACT,Skilled Animal and Horticultural Workers
3A,3,01/08/2006,8.51,ACT,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/08/2006,10.49,ACT,"Jewellers, Arts and Other Trades Workers"
4,2,01/08/2006,176.72,ACT,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/08/2006,4.01,ACT,Health and Welfare Support Workers
42,3,01/08/2006,39.43,ACT,Carers and Aides
43,3,01/08/2006,69.63,ACT,Hospitality Workers
44,3,01/08/2006,44.03,ACT,Protective Service Workers
45,3,01/08/2006,20.27,ACT,"Sports, Travel and Personal Service Workers"
5,2,01/08/2006,662.95,ACT,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/08/2006,96.36,ACT,Numerical Clerks
56,3,01/08/2006,21.63,ACT,Clerical and Office Support Workers
59,3,01/08/2006,38.71,ACT,Other Clerical and Administrative Workers
5A,3,01/08/2006,160.16,ACT,"Office Managers, Administrators and Secretaries"
5B,3,01/08/2006,346.86,ACT,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/08/2006,325.15,ACT,SALES WORKERS
61,3,01/08/2006,77.58,ACT,Sales Representatives and Agents
62,3,01/08/2006,221.96,ACT,Sales Assistants and Salespersons
63,3,01/08/2006,35.39,ACT,Sales Support Workers
7,2,01/08/2006,68.09,ACT,MACHINERY OPERATORS AND DRIVERS
71,3,01/08/2006,4.13,ACT,Machine and Stationary Plant Operators
72,3,01/08/2006,9.1,ACT,Mobile Plant Operators
7A,3,01/08/2006,53.37,ACT,Drivers and Storepersons
8,2,01/08/2006,200.13,ACT,LABOURERS
81,3,01/08/2006,56.14,ACT,Cleaners and Laundry Workers
82,3,01/08/2006,9.94,ACT,Construction and Mining Labourers
83,3,01/08/2006,12.07,ACT,Factory Process Workers
84,3,01/08/2006,4.7,ACT,"Farm, Forestry and Garden Workers"
85,3,01/08/2006,30.15,ACT,Food Preparation Assistants
89,3,01/08/2006,87.91,ACT,Other Labourers
0,1,01/08/2007,279415.26,AUST,AUSTRALIAN TOTAL
1,2,01/08/2007,28396.07,AUST,MANAGERS
11,3,01/08/2007,667.65,AUST,"Chief Executives, Managing Directors & Legislators"
12,3,01/08/2007,109.54,AUST,Farmers and Farm Managers
14,3,01/08/2007,5722.78,AUST,"Hospitality, Retail and Service Managers"
1A,3,01/08/2007,12114.06,AUST,Corporate Managers
1B,3,01/08/2007,7837.43,AUST,"Construction, Production and Distribution Managers"
1C,3,01/08/2007,2014.85,AUST,"Health, Education, ICT and Other Managers"
2,2,01/08/2007,69601.53,AUST,PROFESSIONALS
21,3,01/08/2007,1109.42,AUST,Arts and Media Professionals
24,3,01/08/2007,1666.57,AUST,Education Professionals
26,3,01/08/2007,17849.36,AUST,ICT Professionals
27,3,01/08/2007,5949.86,AUST,"Legal, Social and Welfare Professionals"
2A,3,01/08/2007,19249.74,AUST,"Business, Finance and Human Resource Professionals"
2B,3,01/08/2007,2179.69,AUST,Information Professionals
2C,3,01/08/2007,3379.53,AUST,"Sales, Marketing & Public Relations Professionals"
2D,3,01/08/2007,3076.05,AUST,"Transport and Design Professionals, and Architects"
2E,3,01/08/2007,8376.43,AUST,Engineers
2F,3,01/08/2007,1610.69,AUST,Science Professionals and Veterinarians
2G,3,01/08/2007,1990.37,AUST,Health Diagnostic and Therapy Professionals
2H,3,01/08/2007,3343.81,AUST,Medical Practitioners and Nurses
3,2,01/08/2007,30865.74,AUST,TECHNICIANS AND TRADES WORKERS
31,3,01/08/2007,8401.84,AUST,"Engineering, ICT and Science Technicians"
32,3,01/08/2007,6955.44,AUST,Automotive and Engineering Trades Workers
33,3,01/08/2007,3689.38,AUST,Construction Trades Workers
34,3,01/08/2007,2871.54,AUST,Electrotechnology and Telecommunications Trades Workers
35,3,01/08/2007,4871.76,AUST,Food Trades Workers
36,3,01/08/2007,1242,AUST,Skilled Animal and Horticultural Workers
3A,3,01/08/2007,2280.1,AUST,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/08/2007,624.22,AUST,"Jewellers, Arts and Other Trades Workers"
4,2,01/08/2007,16103.32,AUST,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/08/2007,925.57,AUST,Health and Welfare Support Workers
42,3,01/08/2007,5052.23,AUST,Carers and Aides
43,3,01/08/2007,6261.85,AUST,Hospitality Workers
44,3,01/08/2007,1432.83,AUST,Protective Service Workers
45,3,01/08/2007,2404.35,AUST,"Sports, Travel and Personal Service Workers"
5,2,01/08/2007,57776.53,AUST,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/08/2007,14185.16,AUST,Numerical Clerks
56,3,01/08/2007,1334.24,AUST,Clerical and Office Support Workers
59,3,01/08/2007,6184.38,AUST,Other Clerical and Administrative Workers
5A,3,01/08/2007,9870.21,AUST,"Office Managers, Administrators and Secretaries"
5B,3,01/08/2007,26123.08,AUST,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/08/2007,29283.25,AUST,SALES WORKERS
61,3,01/08/2007,9069.08,AUST,Sales Representatives and Agents
62,3,01/08/2007,17461.15,AUST,Sales Assistants and Salespersons
63,3,01/08/2007,2922.59,AUST,Sales Support Workers
7,2,01/08/2007,15388.91,AUST,MACHINERY OPERATORS AND DRIVERS
71,3,01/08/2007,2896.35,AUST,Machine and Stationary Plant Operators
72,3,01/08/2007,2920.06,AUST,Mobile Plant Operators
7A,3,01/08/2007,9608.67,AUST,Drivers and Storepersons
8,2,01/08/2007,32703.77,AUST,LABOURERS
81,3,01/08/2007,5445.18,AUST,Cleaners and Laundry Workers
82,3,01/08/2007,2017.76,AUST,Construction and Mining Labourers
83,3,01/08/2007,4855.76,AUST,Factory Process Workers
84,3,01/08/2007,2198.61,AUST,"Farm, Forestry and Garden Workers"
85,3,01/08/2007,2788.92,AUST,Food Preparation Assistants
89,3,01/08/2007,15370.74,AUST,Other Labourers
0,1,01/08/2007,94389.36,NSW,NSW TOTAL
1,2,01/08/2007,11219.67,NSW,MANAGERS
11,3,01/08/2007,215.47,NSW,"Chief Executives, Managing Directors & Legislators"
12,3,01/08/2007,27.17,NSW,Farmers and Farm Managers
14,3,01/08/2007,1916.85,NSW,"Hospitality, Retail and Service Managers"
1A,3,01/08/2007,5580.83,NSW,Corporate Managers
1B,3,01/08/2007,2678.19,NSW,"Construction, Production and Distribution Managers"
1C,3,01/08/2007,793.84,NSW,"Health, Education, ICT and Other Managers"
2,2,01/08/2007,27673.78,NSW,PROFESSIONALS
21,3,01/08/2007,412.61,NSW,Arts and Media Professionals
24,3,01/08/2007,556.04,NSW,Education Professionals
26,3,01/08/2007,8845.03,NSW,ICT Professionals
27,3,01/08/2007,1961.16,NSW,"Legal, Social and Welfare Professionals"
2A,3,01/08/2007,8347.01,NSW,"Business, Finance and Human Resource Professionals"
2B,3,01/08/2007,857.71,NSW,Information Professionals
2C,3,01/08/2007,1632.38,NSW,"Sales, Marketing & Public Relations Professionals"
2D,3,01/08/2007,1005.23,NSW,"Transport and Design Professionals, and Architects"
2E,3,01/08/2007,2113.36,NSW,Engineers
2F,3,01/08/2007,305.18,NSW,Science Professionals and Veterinarians
2G,3,01/08/2007,563.38,NSW,Health Diagnostic and Therapy Professionals
2H,3,01/08/2007,1020.58,NSW,Medical Practitioners and Nurses
3,2,01/08/2007,8109.8,NSW,TECHNICIANS AND TRADES WORKERS
31,3,01/08/2007,2556.02,NSW,"Engineering, ICT and Science Technicians"
32,3,01/08/2007,1667.69,NSW,Automotive and Engineering Trades Workers
33,3,01/08/2007,864.68,NSW,Construction Trades Workers
34,3,01/08/2007,749.11,NSW,Electrotechnology and Telecommunications Trades Workers
35,3,01/08/2007,1187.58,NSW,Food Trades Workers
36,3,01/08/2007,333.66,NSW,Skilled Animal and Horticultural Workers
3A,3,01/08/2007,577.19,NSW,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/08/2007,178.69,NSW,"Jewellers, Arts and Other Trades Workers"
4,2,01/08/2007,4760.12,NSW,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/08/2007,254.47,NSW,Health and Welfare Support Workers
42,3,01/08/2007,1551.98,NSW,Carers and Aides
43,3,01/08/2007,1746.42,NSW,Hospitality Workers
44,3,01/08/2007,466.41,NSW,Protective Service Workers
45,3,01/08/2007,747.19,NSW,"Sports, Travel and Personal Service Workers"
5,2,01/08/2007,20960.77,NSW,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/08/2007,5807.65,NSW,Numerical Clerks
56,3,01/08/2007,329.26,NSW,Clerical and Office Support Workers
59,3,01/08/2007,2394.9,NSW,Other Clerical and Administrative Workers
5A,3,01/08/2007,3586.3,NSW,"Office Managers, Administrators and Secretaries"
5B,3,01/08/2007,8736.94,NSW,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/08/2007,10207.79,NSW,SALES WORKERS
61,3,01/08/2007,3669.7,NSW,Sales Representatives and Agents
62,3,01/08/2007,5596.25,NSW,Sales Assistants and Salespersons
63,3,01/08/2007,1018.21,NSW,Sales Support Workers
7,2,01/08/2007,3604.31,NSW,MACHINERY OPERATORS AND DRIVERS
71,3,01/08/2007,589.16,NSW,Machine and Stationary Plant Operators
72,3,01/08/2007,688.05,NSW,Mobile Plant Operators
7A,3,01/08/2007,2327.53,NSW,Drivers and Storepersons
8,2,01/08/2007,7919.15,NSW,LABOURERS
81,3,01/08/2007,1227.08,NSW,Cleaners and Laundry Workers
82,3,01/08/2007,447.91,NSW,Construction and Mining Labourers
83,3,01/08/2007,1050.31,NSW,Factory Process Workers
84,3,01/08/2007,501.49,NSW,"Farm, Forestry and Garden Workers"
85,3,01/08/2007,673.42,NSW,Food Preparation Assistants
89,3,01/08/2007,3960.46,NSW,Other Labourers
0,1,01/08/2007,66226.37,VIC,VIC TOTAL
1,2,01/08/2007,6604.99,VIC,MANAGERS
11,3,01/08/2007,136.68,VIC,"Chief Executives, Managing Directors & Legislators"
12,3,01/08/2007,22.7,VIC,Farmers and Farm Managers
14,3,01/08/2007,1412.44,VIC,"Hospitality, Retail and Service Managers"
1A,3,01/08/2007,2891.17,VIC,Corporate Managers
1B,3,01/08/2007,1627.66,VIC,"Construction, Production and Distribution Managers"
1C,3,01/08/2007,563.72,VIC,"Health, Education, ICT and Other Managers"
2,2,01/08/2007,16490.83,VIC,PROFESSIONALS
21,3,01/08/2007,267.99,VIC,Arts and Media Professionals
24,3,01/08/2007,440.54,VIC,Education Professionals
26,3,01/08/2007,4526.9,VIC,ICT Professionals
27,3,01/08/2007,1530.42,VIC,"Legal, Social and Welfare Professionals"
2A,3,01/08/2007,4518.31,VIC,"Business, Finance and Human Resource Professionals"
2B,3,01/08/2007,582.13,VIC,Information Professionals
2C,3,01/08/2007,843.04,VIC,"Sales, Marketing & Public Relations Professionals"
2D,3,01/08/2007,720.05,VIC,"Transport and Design Professionals, and Architects"
2E,3,01/08/2007,1465.09,VIC,Engineers
2F,3,01/08/2007,263.88,VIC,Science Professionals and Veterinarians
2G,3,01/08/2007,390.79,VIC,Health Diagnostic and Therapy Professionals
2H,3,01/08/2007,841.17,VIC,Medical Practitioners and Nurses
3,2,01/08/2007,7194.62,VIC,TECHNICIANS AND TRADES WORKERS
31,3,01/08/2007,1791.32,VIC,"Engineering, ICT and Science Technicians"
32,3,01/08/2007,1623.54,VIC,Automotive and Engineering Trades Workers
33,3,01/08/2007,932.08,VIC,Construction Trades Workers
34,3,01/08/2007,455.41,VIC,Electrotechnology and Telecommunications Trades Workers
35,3,01/08/2007,1278.25,VIC,Food Trades Workers
36,3,01/08/2007,323.48,VIC,Skilled Animal and Horticultural Workers
3A,3,01/08/2007,700.62,VIC,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/08/2007,131.91,VIC,"Jewellers, Arts and Other Trades Workers"
4,2,01/08/2007,3826.12,VIC,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/08/2007,158.48,VIC,Health and Welfare Support Workers
42,3,01/08/2007,1368.9,VIC,Carers and Aides
43,3,01/08/2007,1443.35,VIC,Hospitality Workers
44,3,01/08/2007,329.04,VIC,Protective Service Workers
45,3,01/08/2007,557.14,VIC,"Sports, Travel and Personal Service Workers"
5,2,01/08/2007,13352.74,VIC,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/08/2007,3403.28,VIC,Numerical Clerks
56,3,01/08/2007,255.13,VIC,Clerical and Office Support Workers
59,3,01/08/2007,1526.11,VIC,Other Clerical and Administrative Workers
5A,3,01/08/2007,2214.85,VIC,"Office Managers, Administrators and Secretaries"
