AnzscoCode,Level,Date,NoOfVacancies,State,Title
32,3,01/04/2006,1456.72,NSW,Automotive and Engineering Trades Workers
33,3,01/04/2006,640.17,NSW,Construction Trades Workers
34,3,01/04/2006,676.62,NSW,Electrotechnology and Telecommunications Trades Workers
35,3,01/04/2006,1033.08,NSW,Food Trades Workers
36,3,01/04/2006,257.26,NSW,Skilled Animal and Horticultural Workers
3A,3,01/04/2006,441.71,NSW,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/04/2006,163.55,NSW,"Jewellers, Arts and Other Trades Workers"
4,2,01/04/2006,3918.89,NSW,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/04/2006,236.8,NSW,Health and Welfare Support Workers
42,3,01/04/2006,1288.44,NSW,Carers and Aides
43,3,01/04/2006,1405.42,NSW,Hospitality Workers
44,3,01/04/2006,367.15,NSW,Protective Service Workers
45,3,01/04/2006,633.44,NSW,"Sports, Travel and Personal Service Workers"
5,2,01/04/2006,16218.97,NSW,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/04/2006,4409.98,NSW,Numerical Clerks
56,3,01/04/2006,263.35,NSW,Clerical and Office Support Workers
59,3,01/04/2006,1966.05,NSW,Other Clerical and Administrative Workers
5A,3,01/04/2006,2883.25,NSW,"Office Managers, Administrators and Secretaries"
5B,3,01/04/2006,6852.35,NSW,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/04/2006,9233.55,NSW,SALES WORKERS
61,3,01/04/2006,3323.43,NSW,Sales Representatives and Agents
62,3,01/04/2006,4779.58,NSW,Sales Assistants and Salespersons
63,3,01/04/2006,1152.2,NSW,Sales Support Workers
7,2,01/04/2006,3135.49,NSW,MACHINERY OPERATORS AND DRIVERS
71,3,01/04/2006,539.13,NSW,Machine and Stationary Plant Operators
72,3,01/04/2006,630.76,NSW,Mobile Plant Operators
7A,3,01/04/2006,1988.43,NSW,Drivers and Storepersons
8,2,01/04/2006,6767.06,NSW,LABOURERS
81,3,01/04/2006,1000.46,NSW,Cleaners and Laundry Workers
82,3,01/04/2006,337.78,NSW,Construction and Mining Labourers
83,3,01/04/2006,878.39,NSW,Factory Process Workers
84,3,01/04/2006,546.77,NSW,"Farm, Forestry and Garden Workers"
85,3,01/04/2006,569.87,NSW,Food Preparation Assistants
89,3,01/04/2006,3469.24,NSW,Other Labourers
0,1,01/04/2006,51489.9,VIC,VIC TOTAL
1,2,01/04/2006,5218.28,VIC,MANAGERS
11,3,01/04/2006,111.32,VIC,"Chief Executives, Managing Directors & Legislators"
12,3,01/04/2006,28.49,VIC,Farmers and Farm Managers
14,3,01/04/2006,1196.31,VIC,"Hospitality, Retail and Service Managers"
1A,3,01/04/2006,2217.83,VIC,Corporate Managers
1B,3,01/04/2006,1171.95,VIC,"Construction, Production and Distribution Managers"
1C,3,01/04/2006,490.62,VIC,"Health, Education, ICT and Other Managers"
2,2,01/04/2006,12483.46,VIC,PROFESSIONALS
21,3,01/04/2006,194.93,VIC,Arts and Media Professionals
24,3,01/04/2006,346.91,VIC,Education Professionals
26,3,01/04/2006,3396.13,VIC,ICT Professionals
27,3,01/04/2006,1253.72,VIC,"Legal, Social and Welfare Professionals"
2A,3,01/04/2006,3846.41,VIC,"Business, Finance and Human Resource Professionals"
2B,3,01/04/2006,370.25,VIC,Information Professionals
2C,3,01/04/2006,664.4,VIC,"Sales, Marketing & Public Relations Professionals"
2D,3,01/04/2006,444.27,VIC,"Transport and Design Professionals, and Architects"
2E,3,01/04/2006,823.69,VIC,Engineers
2F,3,01/04/2006,200.05,VIC,Science Professionals and Veterinarians
2G,3,01/04/2006,272.69,VIC,Health Diagnostic and Therapy Professionals
2H,3,01/04/2006,720.08,VIC,Medical Practitioners and Nurses
3,2,01/04/2006,5330.56,VIC,TECHNICIANS AND TRADES WORKERS
31,3,01/04/2006,1118.34,VIC,"Engineering, ICT and Science Technicians"
32,3,01/04/2006,1290.88,VIC,Automotive and Engineering Trades Workers
